1, Konrad Geßner, p1283, , Heinrich Bullinger [Antistes], p495
2976, Heinrich Bullinger [Antistes], p495, 5. August 1556, Johannes Calvin, p540
2977, Johannes Bechlin, p8027, 7. August 1556, Heinrich Bullinger [Antistes], p495
2978, Matthias Erb, p1010, 7. August 1556, Heinrich Bullinger [Antistes], p495
2979, Georg Frölich (Laetus), p8354, 7. August 1556, Heinrich Bullinger [Antistes], p495
2980, Georg Frölich (Laetus), p8354, 7. August 1556, Heinrich Bullinger [Antistes], p495
2981, David Chytraeus, p583, 9. August 1556, Heinrich Bullinger [Antistes], p495
2982, Valentin Paceus (Hartung Fried), p8490, 10. August 1556, Heinrich Bullinger [Antistes], p495
2983, Thomas Sampson, p2866, 12. August 1556, Heinrich Bullinger [Antistes], p495
2984, Francesco Lismanini, p1936, 14. August 1556, Heinrich Bullinger [Antistes], p495
2985, François Hotman, p1586, 15. August 1556, Heinrich Bullinger [Antistes], p495
2986, Charles Sr. de Jonvilliers (Jonvillaeus de Joan), p8078, 15. August 1556, Heinrich Bullinger [Antistes], p495
2987, Alexander Vitrelin (Witrelin), p8513, 18. August 1556, Heinrich Bullinger [Antistes], p495
2988, Josua Keßler, p5454, 20. August 1556, Heinrich Bullinger [Antistes], p495
2989, Baptist Johannes Wisamer, p3971, 20. August 1556, Heinrich Bullinger [Antistes], p495
2990, Georg Frölich (Laetus), p8354, 21. August 1556, Heinrich Bullinger [Antistes], p495
2991, Philipp Gallicius (Saluz), p8359, 22. August 1556, Heinrich Bullinger [Antistes], p495
2992, Simon Sulzer, p3099, 22. August 1556, Heinrich Bullinger [Antistes], p495
2993, Heinrich Bullinger [Antistes], p495, 23. August 1556, Johannes Travers d.Ä., p6831
2994, Philipp Melanchthon, p2095, 24. August 1556, Heinrich Bullinger [Antistes], p495
2995, Martin Micronius (de Cleyne), p8415, 24. August 1556, Heinrich Bullinger [Antistes], p495
2996, Simon Sulzer, p3099, 25. August 1556, Heinrich Bullinger [Antistes], p495
2997, Simon Sulzer, p3099, 25. August 1556, Heinrich Bullinger [Antistes], p495
2998, Wolfgang Musculus (Müsli Meuslin), p8417, 25. August 1556, Heinrich Bullinger [Antistes], p495
2999, Fridolin Brunner (Fonteius), p8303, 26. August 1556, Heinrich Bullinger [Antistes], p495
3000, Dietrich Lorenz Becks (Beccius), p8157, 28. August 1556, Heinrich Bullinger [Antistes], p495
3001, Heinrich Bullinger [Antistes], p495, 28. August 1556, Johannes Calvin, p540
3002, Heinrich Bullinger [Antistes], p495, 30. August 1556, Girolamo Zanchi, p4037
3003, Philipp Gallicius (Saluz), p8359, 30. August 1556, Heinrich Bullinger [Antistes], p495
3004, Anna Bullinger geb. Adlischwyler [Ehefrau], p8051, 31. August 1556, , 
3005, Wolfgang Waidner, p3902, 31. August 1556, Heinrich Bullinger [Antistes], p495
3006, Heinrich Bullinger [Antistes], p495, September 1556, Primus (Primoz) Truber (Trubar), p8452
3007, Heinrich Bullinger [Antistes], p495, 1. September 1556, Heinrich Bullinger d.J., p487
3008, Ambrosius Blarer (Blaurer), p8055, 1. September 1556, Heinrich Bullinger [Antistes], p495
3009, Martin Micronius (de Cleyne), p8415, 4. September 1556, Heinrich Bullinger [Antistes], p495
3010, Johannes Pincier (Veteranus Pinziger), p8115, 7. September 1556, Heinrich Bullinger [Antistes], p495
3011, Thomas Sampson, p2866, 13. September 1556, Heinrich Bullinger [Antistes], p495
3012, Philipp Melanchthon, p2095, 16. September 1556, Heinrich Bullinger [Antistes], p495
3013, Heinrich Bullinger d.J., p487, 17. September 1556, Heinrich Bullinger [Antistes], p495
3014, Heinrich Bullinger d.J., p487, , Heinrich Bullinger [Antistes], p495
3015, Thomas Lever, p1911, 18. September 1556, Heinrich Bullinger [Antistes], p495
3016, Robert Horne (Horn), p8085, 19. September 1556, Heinrich Bullinger [Antistes], p495
3017, Wolfgang Waidner, p3902, 19. September 1556, Heinrich Bullinger [Antistes], p495
3018, Wigand Happel, p1456, 21. September 1556, Heinrich Bullinger [Antistes], p495
3019, François Hotman, p1586, 22. September 1556, Heinrich Bullinger [Antistes], p495
3020, Thomas Blarer (Blaurer), p8178, 22. September 1556, Heinrich Bullinger [Antistes], p495
3021, Georg von Württemberg-Mömpelgard (Montbéliard), p8098, 23. September 1556, Heinrich Bullinger [Antistes], p495
3022, Michael Toxites (Schütz Rhetus), p8450, 24. September 1556, Heinrich Bullinger [Antistes], p495
3023, Girolamo Zanchi, p4037, 24. September 1556, Heinrich Bullinger [Antistes], p495
3024, Simon Sulzer, p3099, 26. September 1556, Heinrich Bullinger [Antistes], p495
3025, Matthias Erb, p1010, 28. September 1556, Heinrich Bullinger [Antistes], p495
3026, Matthias Erb, p1010, 28. September 1556, Heinrich Bullinger [Antistes], p495
3027, , , 3. Oktober 1558, Heinrich Bullinger [Antistes], p495
3028, Philipp Gallicius (Saluz), p8359, 5. Oktober 1556, Heinrich Bullinger [Antistes], p495
3029, Simon Sulzer, p3099, 5. Oktober 1556, Heinrich Bullinger [Antistes], p495
3030, Matthias Erb, p1010, 6. Oktober 1556, Heinrich Bullinger [Antistes], p495
3031, Georg Frölich (Laetus), p8354, 6. Oktober 1556, Heinrich Bullinger [Antistes], p495
3032, Johannes Haller d.J., p8018, 10. Oktober 1556, Heinrich Bullinger [Antistes], p495
3033, Johannes Haller d.J., p8018, 10. Oktober 1556, Heinrich Bullinger [Antistes], p495
3034, Fridolin Brunner (Fonteius), p8303, 12. Oktober 1556, Heinrich Bullinger [Antistes], p495
3035, Raphael Sailer (Seiler), p8430, 12. Oktober 1556, Heinrich Bullinger [Antistes], p495
3036, Thomas Sampson, p2866, 13. Oktober 1556, Heinrich Bullinger [Antistes], p495
3037, Johannes (Kleinhans) Kambli, p8392, 14. Oktober 1556, Heinrich Bullinger [Antistes], p495
3038, Friedrich von Salis (a Salize de Salicibus), p8432, 22. Oktober 1556, Heinrich Bullinger [Antistes], p495
3039, Johannes Calvin, p540, 26. Oktober 1556, Heinrich Bullinger [Antistes], p495
3040, Heinrich Bullinger [Antistes], p495, 1. November 1556, Philipp Melanchthon, p2095
3041, Heinrich Bullinger [Antistes], p495, 2. November 1556, Heinrich Bullinger d.J., p487
3042, Ambrosius Blarer (Blaurer), p8055, 5. November 1556, Heinrich Bullinger [Antistes], p495
3043, Simon Sulzer, p3099, 10. November 1556, Heinrich Bullinger [Antistes], p495
3044, Simon Sulzer, p3099, 13. November 1556, Heinrich Bullinger [Antistes], p495
3045, Heinrich Bullinger [Antistes], p495, 13. November 1556, Josua Keßler, p5454
3046, Johannes Haller d.J., p8018, , Heinrich Bullinger [Antistes], p495
3047, Robert Horne (Horn), p8085, 19. November 1556, Heinrich Bullinger [Antistes], p495
3048, Heinrich Bullinger [Antistes], p495, 22. November 1556, Georg von Württemberg-Mömpelgard (Montbéliard), p8098
3049, Heinrich Bullinger [Antistes], p495, , Georg von Württemberg-Mömpelgard (Montbéliard), p8098
3050, Wolfgang Musculus (Müsli Meuslin), p8417, 22. November 1556, Heinrich Bullinger [Antistes], p495
3051, Johannes Calvin, p540, 24. November 1556, Heinrich Bullinger [Antistes], p495
3052, Thomas Blarer (Blaurer), p8178, 25. November 1556, Heinrich Bullinger [Antistes], p495
3053, Johannes Haller d.J., p8018, 28. November 1556, Heinrich Bullinger [Antistes], p495
3054, Johannes (Jan) a Lasco (Laski), p8041, 28. November 1556, Heinrich Bullinger [Antistes], p495
3055, Johannes Calvin, p540, 29. November 1556, Heinrich Bullinger [Antistes], p495
3056, Georg Frölich (Laetus), p8354, 29. November 1556, Heinrich Bullinger [Antistes], p495
3057, Simon Sulzer, p3099, 1. Dezember 1556, Heinrich Bullinger [Antistes], p495
3058, Heinrich Bullinger [Antistes], p495, 4. Dezember 1556, Konrad Klauser (Clauser), p8398
3059, , , 8. Dezember 1556, , 
3060, Johannes Travers d.Ä., p6831, 8. Dezember 1556, Heinrich Bullinger [Antistes], p495
3061, Johannes Haller d.J., p8018, 13. Dezember 1556, Heinrich Bullinger [Antistes], p495
3062, Heinrich Bullinger [Antistes], p495, 20. Dezember 1556, , 
3063, Charles Sr. de Jonvilliers (Jonvillaeus de Joan), p8078, 20. Dezember 1556, Heinrich Bullinger [Antistes], p495
3064, Michael Roset, p2740, 22. Dezember 1556, Heinrich Bullinger [Antistes], p495
3065, Johannes Haller d.J., p8018, 24. Dezember 1556, Heinrich Bullinger [Antistes], p495
3066, Nikolaus von (van) Starkenburg (Starckenborgh), p8508, 25. Dezember 1556, Heinrich Bullinger [Antistes], p495
3067, Johannes Haller d.J., p8018, 26. Dezember 1556, Heinrich Bullinger [Antistes], p495
3068, Heinrich Bullinger [Antistes], p495, 31. Dezember 1556, Johannes Calvin, p540
3069, Wolfgang Musculus (Müsli Meuslin), p8417, 31. Dezember 1556, Heinrich Bullinger [Antistes], p495
3070, Heinrich Bullinger [Antistes], p495, , , 
3071, , , , , 
3072, John Foxe, p1145, , Heinrich Bullinger [Antistes], p495
3073, Heinrich Bullinger [Antistes], p495, , , 
3074, Demetrius von Thessalonich, p3749, , , 
3075, Heinrich Bullinger [Antistes], p495, , Francesco Lismanini, p1936
3076, Heinrich Bullinger [Antistes], p495, , Johannes Fabricius Montanus (Schmid), p8009
3077, Matthieu Coignet d.Ä., p629, 16. Dezember 1560, , 
3078, Johannes Fabricius Montanus (Schmid), p8009, , Heinrich Bullinger [Antistes], p495
3079, , , , , 
3080, Johannes Fries, p1214, , Heinrich Bullinger [Antistes], p495
3081, Johannes Jung, p1754, , Heinrich Bullinger [Antistes], p495
3082, Simprecht Vogt, p3481, , Heinrich Bullinger [Antistes], p495
3083, Heinrich Bullinger [Antistes], p495, Januar 1557, , 
3084, Petrus Dasypodius (Hasenfratz), p8320, 1. Januar 1557, Heinrich Bullinger [Antistes], p495
3085, Raphael Sailer (Seiler), p8430, 2. Januar 1557, Heinrich Bullinger [Antistes], p495
3086, Konrad Finck, p1137, 3. Januar 1557, Heinrich Bullinger [Antistes], p495
3087, Georg Frölich (Laetus), p8354, 3. Januar 1557, Heinrich Bullinger [Antistes], p495
3088, Simon Sulzer, p3099, 3. Januar 1557, Heinrich Bullinger [Antistes], p495
3089, Thomas Lever, p1911, 4. Januar 1557, Heinrich Bullinger [Antistes], p495
3090, Simon Sulzer, p3099, 7. Januar 1557, Heinrich Bullinger [Antistes], p495
3091, Guglielmo Grataroli, p1327, 8. Januar 1557, Heinrich Bullinger [Antistes], p495
3092, Johannes Haller d.J., p8018, 8. Januar 1557, Heinrich Bullinger [Antistes], p495
3093, Girolamo Zanchi, p4037, 8. Januar 1557, Heinrich Bullinger [Antistes], p495
3094, Bernardin Bochetel Abbé de Saint-Laurent (Sanlaurentius), p8183, 9. Januar 1557, Heinrich Bullinger [Antistes], p495
3095, Christiana Frisching geb. Zehnder (Zehender), p8352, 10. Januar 1557, Heinrich Bullinger [Antistes], p495
3096, François Hotman, p1586, 11. Januar 1557, Heinrich Bullinger [Antistes], p495
3097, Georg Frölich (Laetus), p8354, 13. Januar 1557, Heinrich Bullinger [Antistes], p495
3098, Johannes Travers d.Ä., p6831, 13. Januar 1557, Heinrich Bullinger [Antistes], p495
3099, Wolfgang Musculus (Müsli Meuslin), p8417, 15. Januar 1557, Heinrich Bullinger [Antistes], p495
3100, Pietro Parisotti (Bergomas), p8492, 15. Januar 1557, Heinrich Bullinger [Antistes], p495
3101, Johannes Haller d.J., p8018, 16. Januar 1557, Heinrich Bullinger [Antistes], p495
3102, Johannes Fabricius Montanus (Schmid), p8009, 17. Januar 1557, Heinrich Bullinger [Antistes], p495
3103, Bernardin Bochetel Abbé de Saint-Laurent (Sanlaurentius), p8183, 18. Januar 1557, Heinrich Bullinger [Antistes], p495
3104, Johannes Haller d.J., p8018, 22. Januar 1557, Heinrich Bullinger [Antistes], p495
3105, Wolfgang Musculus (Müsli Meuslin), p8417, 27. Januar 1557, Heinrich Bullinger [Antistes], p495
3106, Johannes Calvin, p540, 22. Januar 1557, Heinrich Bullinger [Antistes], p495
3107, Johannes Haller d.J., p8018, 28. Januar 1557, Heinrich Bullinger [Antistes], p495
3108, Bernardin Bochetel Abbé de Saint-Laurent (Sanlaurentius), p8183, 1. Februar 1557, Heinrich Bullinger [Antistes], p495
3109, Simon Sulzer, p3099, 1. Februar 1557, Heinrich Bullinger [Antistes], p495
3110, Gereon Sailer, p2856, 2. Februar 1557, Heinrich Bullinger [Antistes], p495
3111, Konrad Geßner, p1283, 5. Februar 1557, Heinrich Bullinger [Antistes], p495
3112, Heinrich Bullinger [Antistes], p495, 7. Februar 1557, Johannes Haller d.J., p8018
3113, Ambrosius Blarer (Blaurer), p8055, 8. Februar 1557, Heinrich Bullinger [Antistes], p495
3114, Pietro Parisotti (Bergomas), p8492, 14. Februar 1557, Heinrich Bullinger [Antistes], p495
3115, Johannes Calvin, p540, 17. Februar 1557, Heinrich Bullinger [Antistes], p495
3116, Philipp Gallicius (Saluz), p8359, 20. Februar 1557, Heinrich Bullinger [Antistes], p495
3117, Jan Utenhove d.Ä., p8061, 21. Februar 1557, Heinrich Bullinger [Antistes], p495
3118, Georg Frölich (Laetus), p8354, 24. Februar 1557, Heinrich Bullinger [Antistes], p495
3119, Johannes Haller d.J., p8018, 24. Februar 1557, Heinrich Bullinger [Antistes], p495
3120, Simon Sulzer, p3099, 24. Februar 1557, Heinrich Bullinger [Antistes], p495
3121, Heinrich Bullinger [Antistes], p495, 25. Februar 1557, Johannes Calvin, p540
3122, Raphael Sailer (Seiler), p8430, 26. Februar 1557, Heinrich Bullinger [Antistes], p495
3123, Matthias Erb, p1010, 28. Februar 1557, Heinrich Bullinger [Antistes], p495
3124, Philipp Gallicius (Saluz), p8359, 1. März 1557, Heinrich Bullinger [Antistes], p495
3125, Francesco Lismanini, p1936, 6. März 1557, Heinrich Bullinger [Antistes], p495
3126, Martin Micronius (de Cleyne), p8415, 8. März 1557, Heinrich Bullinger [Antistes], p495
3127, Heinrich Bullinger [Antistes], p495, 10. März 1557, , 
3128, Matthias Erb, p1010, 13. März 1557, Heinrich Bullinger [Antistes], p495
3129, Johannes Hospinian (Wirth), p8384, 13. März 1557, Heinrich Bullinger [Antistes], p495
3130, Primus (Primoz) Truber (Trubar), p8452, 13. März 1557, Heinrich Bullinger [Antistes], p495
3131, Johannes Calvin, p540, 17. März 1557, Heinrich Bullinger [Antistes], p495
3132, Heinrich Bullinger [Antistes], p495, 19. März 1557, Ambrosius Blarer (Blaurer), p8055
3133, Bernardin Bochetel Abbé de Saint-Laurent (Sanlaurentius), p8183, 24. März 1557, Heinrich Bullinger [Antistes], p495
3134, Heinrich Bullinger [Antistes], p495, 24. März 1557, Johannes Calvin, p540
3135, Théodor de Bèze (Beza), p8033, 27. März 1557, Heinrich Bullinger [Antistes], p495
3136, Johannes Oporin(us Herbster), p8126, 27. März 1557, Heinrich Bullinger [Antistes], p495
3137, Georg von Württemberg-Mömpelgard (Montbéliard), p8098, 27. März 1557, Heinrich Bullinger [Antistes], p495
3138, Simon Sulzer, p3099, 28. März 1557, Heinrich Bullinger [Antistes], p495
3139, Dietrich Bitter (von Wipperford), p8175, 3. März 1557, Heinrich Bullinger [Antistes], p495
3140, Johannes Calvin, p540, 30. März 1557, Heinrich Bullinger [Antistes], p495
3141, Ambrosius Blarer (Blaurer), p8055, 31. März 1557, Heinrich Bullinger [Antistes], p495
3142, Johannes Lening, p1903, 4. April 1557, Heinrich Bullinger [Antistes], p495
3143, Johannes Pincier (Veteranus Pinziger), p8115, 4. April 1557, Heinrich Bullinger [Antistes], p495
3144, Konrad (Wolfhart) Lycosthenes, p8406, 6. April 1557, Heinrich Bullinger [Antistes], p495
3145, Heinrich Bullinger [Antistes], p495, 9. April 1557, Johannes Calvin, p540
3146, Heinrich Bullinger [Antistes], p495, 9. April 1557, Johannes Fabricius Montanus (Schmid), p8009
3147, Philipp Gallicius (Saluz), p8359, 10. April 1557, Heinrich Bullinger [Antistes], p495
3148, Martin Micronius (de Cleyne), p8415, 12. April 1557, Heinrich Bullinger [Antistes], p495
3149, Ambrosius Blarer (Blaurer), p8055, 15. April 1557, Heinrich Bullinger [Antistes], p495
3150, Matthias Erb, p1010, 15. April 1557, Heinrich Bullinger [Antistes], p495
3151, Wolfgang Waidner, p3902, 17. April 1557, Heinrich Bullinger [Antistes], p495
3152, Konrad Badius (Bade), p8153, 18. April 1557, Heinrich Bullinger [Antistes], p495
3153, Friedrich von Salis (a Salize de Salicibus), p8432, 18. April 1557, Heinrich Bullinger [Antistes], p495
3154, Johannes Fabricius Montanus (Schmid), p8009, 19. April 1557, Heinrich Bullinger [Antistes], p495
3155, Jean Garnier, p8362, 20. April 1557, Heinrich Bullinger [Antistes], p495
3156, Girolamo Zanchi, p4037, 20. April 1557, Heinrich Bullinger [Antistes], p495
3157, Johannes Haller d.J., p8018, 21. April 1557, Heinrich Bullinger [Antistes], p495
3158, Andreas Hyperius (Gerhardt Gheeraerdts), p8386, 21. April 1557, Heinrich Bullinger [Antistes], p495
3159, Andreas Hyperius (Gerhardt Gheeraerdts), p8386, , Heinrich Bullinger [Antistes], p495
3160, Johannes Haller d.J., p8018, 23. April 1557, Heinrich Bullinger [Antistes], p495
3161, Thomas Sampson, p2866, 23. April 1557, Heinrich Bullinger [Antistes], p495
3162, Johannes Fabricius Montanus (Schmid), p8009, 26. April 1557, Heinrich Bullinger [Antistes], p495
3163, Francis Russel 2nd Earl of Bedford Francis, p8026, 26. April 1557, Heinrich Bullinger [Antistes], p495
3164, Friedrich von Salis (a Salize de Salicibus), p8432, 28. April 1557, Heinrich Bullinger [Antistes], p495
3165, Samuel Zehnder, p4058, 28. April 1557, Heinrich Bullinger [Antistes], p495
3166, Théodor de Bèze (Beza), p8033, 29. April 1557, Heinrich Bullinger [Antistes], p495
3167, Matthieu Coignet d.Ä., p629, Mai 1557, Heinrich Bullinger [Antistes], p495
3168, Heinrich Bullinger d.J., p487, 1. Mai 1557, Heinrich Bullinger [Antistes], p495
3169, Pier Paolo Vergerio, p3375, 1. Mai 1557, Heinrich Bullinger [Antistes], p495
3170, Johannes Kessler, p1789, 2. Mai 1557, Heinrich Bullinger [Antistes], p495
3171, Simon Sulzer, p3099, 4. Mai 1557, Heinrich Bullinger [Antistes], p495
3172, Johannes Calvin, p540, 6. Mai 1557, Heinrich Bullinger [Antistes], p495
3173, Johannes Oporin(us Herbster), p8126, 6. Mai 1557, Heinrich Bullinger [Antistes], p495
3174, Francis Russel 2nd Earl of Bedford Francis, p8026, 6. Mai 1557, Heinrich Bullinger [Antistes], p495
3175, Simon Sulzer, p3099, 6. Mai 1557, Heinrich Bullinger [Antistes], p495
3176, Johannes Kessler, p1789, 8. Mai 1557, Heinrich Bullinger [Antistes], p495
3177, Friedrich von Salis (a Salize de Salicibus), p8432, 10. Mai 1557, Heinrich Bullinger [Antistes], p495
3178, Thomas Lever, p1911, 12. Mai 1557, Heinrich Bullinger [Antistes], p495
3179, Heinrich Bullinger [Antistes], p495, 13. Mai 1557, Johannes Fabricius Montanus (Schmid), p8009
3180, François Hotman, p1586, 13. Mai 1557, Heinrich Bullinger [Antistes], p495
3181, Heinrich Bullinger [Antistes], p495, 14. Mai 1557, Agnes Dluska-Kottwitz, p824
3182, Guillaume Farel, p1049, 14. Mai 1557, , 
3183, Johannes Haller d.J., p8018, 14. Mai 1557, Heinrich Bullinger [Antistes], p495
3184, Heinrich Bullinger [Antistes], p495, 16. Mai 1557, Johannes Calvin, p540
3185, Johannes Oporin(us Herbster), p8126, 16. Mai 1557, Heinrich Bullinger [Antistes], p495
3186, Johannes Fabricius Montanus (Schmid), p8009, 17. Mai 1557, Heinrich Bullinger [Antistes], p495
3187, Johannes Jung, p1754, 17. Mai 1557, Heinrich Bullinger [Antistes], p495
3188, Heinrich Bullinger [Antistes], p495, 20. Mai 1557, Johannes Calvin, p540
3189, Heinrich Bullinger [Antistes], p495, 21. Mai 1557, Johannes Fabricius Montanus (Schmid), p8009
3190, Heinrich Bullinger [Antistes], p495, 21. Mai 1557, Friedrich von Salis (a Salize de Salicibus), p8432
3191, Heinrich Bullinger [Antistes], p495, 22. Mai 1557, Johannes Calvin, p540
3192, Simprecht Vogt, p3481, 22. Mai 1557, Heinrich Bullinger [Antistes], p495
3193, Johannes Oporin(us Herbster), p8126, 23. Mai 1557, Heinrich Bullinger [Antistes], p495
3194, Pietro Parisotti (Bergomas), p8492, 23. Mai 1557, Heinrich Bullinger [Antistes], p495
3195, Simon Sulzer, p3099, 23. Mai 1557, Heinrich Bullinger [Antistes], p495
3196, Wolfgang Musculus (Müsli Meuslin), p8417, 24. Mai 1557, Heinrich Bullinger [Antistes], p495
3197, Simon Sulzer, p3099, 24. Mai 1557, Heinrich Bullinger [Antistes], p495
3198, Johannes Calvin, p540, 30. Mai 1557, Heinrich Bullinger [Antistes], p495
3199, Johannes Oporin(us Herbster), p8126, 30. Mai 1557, Heinrich Bullinger [Antistes], p495
3200, Johannes Oporin(us Herbster), p8126, 30. Mai 1557, Heinrich Bullinger [Antistes], p495
3201, Simon Sulzer, p3099, 31. Mai 1557, Heinrich Bullinger [Antistes], p495
3202, Théodor de Bèze (Beza), p8033, 5. Juni 1557, Heinrich Bullinger [Antistes], p495
3203, Gilbert Cousin (Cognatus Nozerenus), p8073, 5. Juni 1557, Heinrich Bullinger [Antistes], p495
3204, Martin Micronius (de Cleyne), p8415, 5. Juni 1557, Heinrich Bullinger [Antistes], p495
3205, Johannes Oporin(us Herbster), p8126, 5. Juni 1557, Heinrich Bullinger [Antistes], p495
3206, Friedrich von Salis (a Salize de Salicibus), p8432, 6. Juni 1557, Heinrich Bullinger [Antistes], p495
3207, Simon Sulzer, p3099, 6. Juni 1557, Heinrich Bullinger [Antistes], p495
3208, Johannes Haller d.J., p8018, 9. Juni 1557, Heinrich Bullinger [Antistes], p495
3209, Celio Secondo Curione, p714, 11. Juni 1557, Heinrich Bullinger [Antistes], p495
3210, Johannes Oporin(us Herbster), p8126, 12. Juni 1557, Heinrich Bullinger [Antistes], p495
3211, Charles Sr. de Jonvilliers (Jonvillaeus de Joan), p8078, 13. Juni 1557, Heinrich Bullinger [Antistes], p495
3212, Simprecht Vogt, p3481, 14. Juni 1557, Heinrich Bullinger [Antistes], p495
3213, Heinrich Bullinger [Antistes], p495, 15. Juni 1557, Georg von Württemberg-Mömpelgard (Montbéliard), p8098
3214, Heinrich Bullinger [Antistes], p495, 16. Juni 1557, Celio Secondo Curione, p714
3215, François Hotman, p1586, 16. Juni 1557, Heinrich Bullinger [Antistes], p495
3216, Heinrich Bullinger [Antistes], p495, , , 
3217, Heinrich Bullinger [Antistes], p495, 20. Juni 1557, Johannes Calvin, p540
3218, Felix Cruciger (Krzyzak), p8318, 20. Juni 1557, , 
3219, Celio Secondo Curione, p714, 20. Juni 1557, Heinrich Bullinger [Antistes], p495
3220, Heinrich Bullinger [Antistes], p495, 21. Juni 1557, Johannes Fabricius Montanus (Schmid), p8009
3221, Johannes Fabricius Montanus (Schmid), p8009, 21. Juni 1557, Heinrich Bullinger [Antistes], p495
3222, Matthieu Coignet d.Ä., p629, 23. Juni 1557, Heinrich Bullinger [Antistes], p495
3223, Jan Utenhove d.Ä., p8061, 23. Juni 1557, Heinrich Bullinger [Antistes], p495
3224, Johannes Oporin(us Herbster), p8126, 26. Juni 1557, Heinrich Bullinger [Antistes], p495
3225, Johannes Oporin(us Herbster), p8126, 26. Juni 1557, Heinrich Bullinger [Antistes], p495
3226, Celio Secondo Curione, p714, 28. Juni 1557, Heinrich Bullinger [Antistes], p495
3227, Johannes Fabricius Montanus (Schmid), p8009, 28. Juni 1557, Heinrich Bullinger [Antistes], p495
3228, Gereon Sailer, p2856, 28. Juni 1557, Heinrich Bullinger [Antistes], p495
3229, Johannes Hospinian (Wirth), p8384, 30. Juni 1557, Heinrich Bullinger [Antistes], p495
3230, Celio Secondo Curione, p714, 1. Juli 1557, Heinrich Bullinger [Antistes], p495
3231, Johannes Oporin(us Herbster), p8126, 1. Juli 1557, Heinrich Bullinger [Antistes], p495
3232, Pier Paolo Vergerio, p3375, 3. Juli 1557, Heinrich Bullinger [Antistes], p495
3233, Friedrich von Salis (a Salize de Salicibus), p8432, 4. Juli 1557, Heinrich Bullinger [Antistes], p495
3234, Johannes Fabricius Montanus (Schmid), p8009, 5. Juli 1557, Heinrich Bullinger [Antistes], p495
3235, Simon Sulzer, p3099, 8. Juli 1557, Heinrich Bullinger [Antistes], p495
3236, Heinrich Bullinger [Antistes], p495, 9. Juli 1557, Celio Secondo Curione, p714
3237, Heinrich Bullinger [Antistes], p495, 9. Juli 1557, Pier Paolo Vergerio, p3375
3238, Primus (Primoz) Truber (Trubar), p8452, 10. Juli 1557, Heinrich Bullinger [Antistes], p495
3239, Heinrich Bullinger [Antistes], p495, 16. Juli 1557, Théodor de Bèze (Beza), p8033
3240, Heinrich Bullinger [Antistes], p495, 16. Juli 1557, Celio Secondo Curione, p714
3241, Heinrich Bullinger [Antistes], p495, 16. Juli 1557, Johannes Fabricius Montanus (Schmid), p8009
3242, Johannes Oporin(us Herbster), p8126, 16. Juli 1557, Heinrich Bullinger [Antistes], p495
3243, Johannes Oporin(us Herbster), p8126, 18. Juli 1557, Heinrich Bullinger [Antistes], p495
3244, Heinrich Bullinger [Antistes], p495, 19. Juli 1557, Johannes Calvin, p540
3245, Heinrich Bullinger [Antistes], p495, Juli 1557, Johannes Calvin, p540
3246, Agnes Dluska-Kottwitz, p824, 19. Juli 1557, Heinrich Bullinger [Antistes], p495
3247, Johannes Haller d.J., p8018, 20. Juli 1557, Heinrich Bullinger [Antistes], p495
3248, Johannes Jung, p1754, 20. Juli 1557, Heinrich Bullinger [Antistes], p495
3249, Pier Paolo Vergerio, p3375, 20. Juli 1557, Heinrich Bullinger [Antistes], p495
3250, Heinrich Bullinger [Antistes], p495, 22. Juli 1557, Pier Paolo Vergerio, p3375
3251, Johannes Haller d.J., p8018, 26. Juli 1557, Heinrich Bullinger [Antistes], p495
3252, Guillaume Farel, p1049, 28. Juli 1557, Heinrich Bullinger [Antistes], p495
3253, Simon Sulzer, p3099, 29. Juli 1557, Heinrich Bullinger [Antistes], p495
3254, Johannes Oporin(us Herbster), p8126, 31. Juli 1557, Heinrich Bullinger [Antistes], p495
3255, Johannes Ehinger, p1000, 1. August 1557, Heinrich Bullinger [Antistes], p495
3256, Gereon Sailer, p2856, 1. August 1557, Heinrich Bullinger [Antistes], p495
3257, Friedrich von Salis (a Salize de Salicibus), p8432, 1. August 1557, Heinrich Bullinger [Antistes], p495
3258, Pier Paolo Vergerio, p3375, 4. August 1557, Heinrich Bullinger [Antistes], p495
3259, Johannes Jung, p1754, 5. August 1557, Heinrich Bullinger [Antistes], p495
3260, Johannes Jung, p1754, 5. August 1557, Heinrich Bullinger [Antistes], p495
3261, Heinrich Bullinger [Antistes], p495, 6. August 1557, Johannes Fabricius Montanus (Schmid), p8009
3262, Johannes Calvin, p540, 6. August 1557, Heinrich Bullinger [Antistes], p495
3263, Johannes Calvin, p540, 7. August 1557, Heinrich Bullinger [Antistes], p495
3264, Heinrich Bullinger [Antistes], p495, 8. August 1557, Pier Paolo Vergerio, p3375
3265, Johannes Fabricius Montanus (Schmid), p8009, 9. August 1557, Heinrich Bullinger [Antistes], p495
3266, Friedrich von Salis (a Salize de Salicibus), p8432, 9. August 1557, Heinrich Bullinger [Antistes], p495
3267, Johannes Oporin(us Herbster), p8126, 10. August 1557, Heinrich Bullinger [Antistes], p495
3268, Gereon Sailer, p2856, 10. August 1557, Heinrich Bullinger [Antistes], p495
3269, Johannes Jung, p1754, 12. August 1557, Heinrich Bullinger [Antistes], p495
3270, Heinrich Bullinger [Antistes], p495, 13. August 1557, Johannes Calvin, p540
